1,"New York","New York",8580015,8537673,8175133,0.002473581712670647,11029.23213167574
2,"Los Angeles","California",4030668,3976322,3792621,0.006787319579517392,3320.644797309851
3,"Chicago","Illinois",2687682,2704958,2695598,-0.003203625682411615,4564.612212892745
4,"Houston","Texas",2340814,2303482,2099451,0.00803824734685299,1419.9178050603155
5,"Phoenix","Arizona",1679243,1615017,1445632,0.019496336051192165,1252.4743828185512
6,"Philadelphia","Pennsylvania",1573688,1567872,1526006,0.0018513095404830704,4528.337442228295
7,"San Antonio","Texas",1541456,1492510,1327407,0.016132679140109074,1291.0832663140227
8,"San Diego","California",1438060,1406630,1307402,0.01104865556528134,1709.7205032962713
9,"Dallas","Texas",1359133,1317929,1197816,0.015391500084794396,1543.608793115775
10,"San Jose","California",1030796,1025350,945942,0.0026486446001403596,2242.032633803387
11,"Austin","Texas",983366,947890,790390,0.018369392768229575,1183.5925004471153
12,"Jacksonville","Florida",907529,880619,821784,0.015049089896362,468.6694809117482
14,"Fort Worth","Texas",893997,854113,741206,0.022815497880568136,1001.0750316573964
13,"San Francisco","California",888653,870887,805235,0.010096957159257514,7314.913094656121
15,"Columbus","Ohio",880182,860090,787033,0.011545321650868301,1554.6047870958764
17,"Charlotte","North Carolina",873363,842051,731424,0.0182533196068122,1101.3583453641297
16,"Indianapolis","Indiana",860902,855164,820445,0.003343694240198314,919.6280071585711
18,"Seattle","Washington",746046,704352,608660,0.028746592314661257,3435.964325725472
19,"Denver","Colorado",719116,693060,600158,0.018450957954249336,1811.111426346456
20,"Washington DC","District of Columbia",702756,681170,601723,0.015597654787900428,4437.945855426226
21,"El Paso","Texas",692100,683080,649121,0.006559141348768893,1038.335952989981
22,"Boston","Massachusetts",687584,673184,617594,0.010582259429968932,5491.468649996599
24,"Nashville","Tennessee",673008,660388,601222,0.009464555165907163,545.9765367741784
23,"Detroit","Michigan",665713,672795,713777,-0.0052909657618781525,1852.9102349851223
26,"Portland","Oregon",658347,639863,583776,0.01423806626046642,1904.6179200138645
27,"Oklahoma City","Oklahoma",653865,638367,579999,0.011993202459001262,416.3896875354446
28,"Las Vegas","Nevada",653840,632912,583756,0.016264206311705776,1873.4847582413108
25,"Memphis","Tennessee",649243,652717,646889,-0.0026682847399305265,789.804222994472
29,"Louisville","Kentucky",619287,616261,597337,0.0024491156960313454,906.7640360849762
30,"Baltimore","Maryland",601188,614664,620961,-0.011083585831170195,2867.6673464092955
31,"Milwaukee","Wisconsin",586315,595047,594833,-0.007391468491453113,2353.9562299160034
32,"Albuquerque","New Mexico",562935,559277,545852,0.0032596336521084623,1161.1092764062116
33,"Tucson","Arizona",535236,530706,520116,0.004249762182182426,871.891804214597
34,"Fresno","California",529153,522053,494665,0.006754147141473599,1799.0739202626605
35,"Sacramento","California",507298,495234,466488,0.012033531099256756,2006.1902583114006
36,"Mesa","Arizona",497275,484587,439041,0.012922386241650985,1391.2830445390837
37,"Kansas City","Missouri",494536,481420,459787,0.013439130452602477,606.3774302057385
38,"Atlanta","Georgia",491626,472522,420003,0.019814385343329022,1422.5653060967727
39,"Colorado Springs","Colorado",484233,465101,416427,0.020153075735199533,959.7734470627662
42,"Miami","Florida",479009,453579,399457,0.027268204180195266,5139.267343934273
41,"Raleigh","North Carolina",476746,458880,403892,0.019095236771958124,1268.8181043166192
40,"Long Beach","California",467512,470130,462257,-0.0027921104216748205,3588.3513117144416
43,"Virginia Beach","Virginia",454098,452602,437994,0.0016499393404654228,716.4419012915101
44,"Omaha","Nebraska",450364,446970,408958,0.0037823151691567247,1261.74886381625
45,"Oakland","California",424275,420005,390724,0.005057563841379675,2930.680116032207
46,"Minneapolis","Minnesota",420721,413651,382578,0.008473438705996816,3008.126046530906
47,"Tulsa","Oklahoma",403060,403090,391906,-0.000037213918005374325,787.8952609032489
48,"Arlington","Texas",401248,392772,365438,0.010674794085791195,1617.0771028301413
49,"New Orleans","Louisiana",395009,391495,343829,0.004467873017810486,900.1749221073599
51,"Tampa","Florida",394507,377165,335709,0.022473278802392693,1343.0099414606482
50,"Wichita","Kansas",391586,389902,382368,0.0021548635423704887,941.3477417060801
53,"Bakersfield","California",384188,376380,347483,0.010266011717558365,990.8466840468288
52,"Cleveland","Ohio",381803,385809,396815,-0.005218782405694511,1897.244749700897
54,"Aurora","Colorado",368518,361710,325078,0.009323115520084135,926.7133330000011
55,"Anaheim","California",354553,351043,336265,0.004974517996133798,2742.247138161966
56,"Honolulu","Hawaii",351280,351792,337256,-0.0007282326703381692,2240.1264837346525
57,"Santa Ana","California",334613,334217,324528,0.0005920787046036491,4759.326808710031
58,"Riverside","California",331606,324722,303871,0.010488658109969462,1575.7510780691318
59,"Corpus Christi","Texas",328183,325733,305215,0.003746658592234997,725.8919883612474
60,"Lexington-Fayette","Kentucky",325813,318449,295803,0.011430132461638376,443.5147082108604
61,"Stockton","California",312080,307072,291707,0.008088482311290335,1953.3172939495296
65,"Henderson","Nevada",309155,292969,257729,0.026881506134948996,1139.8291802154456
63,"St. Paul","Minnesota",308138,302398,285068,0.009401575009499785,2289.0677325973566
62,"St. Louis","Missouri",304462,311404,319294,-0.01127193253077785,1897.3979600806322
64,"Pittsburgh","Pennsylvania",303147,303625,305704,-0.0007877753093419315,2113.644160931719
66,"Cincinnati","Ohio",299092,298800,296943,0.0004883825172439238,1482.140117920755
67,"Anchorage","Alaska",297952,298192,291826,-0.0004025872943449471,67.41701660735725
68,"Plano","Texas",291671,286057,259841,0.00971737565082531,1571.3535393215045
71,"Orlando","Florida",290553,277173,238300,0.023567706957229317,1066.1650110272908
69,"Greensboro","North Carolina",290519,287027,269666,0.006046271638969092,872.8635099574759
70,"Lincoln","Nebraska",287870,280364,258379,0.013209346853584991,1196.254032329161
74,"Irvine","California",286720,266122,212375,0.03725838485498567,1688.0124312413257
72,"Newark","New Jersey",283092,281764,277140,0.002351041681419641,4527.1964499763835
73,"Toledo","Ohio",276172,278508,287208,-0.004211437225066672,1321.3982609104723
76,"Durham","North Carolina",274006,263016,228330,0.020464710942940778,958.8989091552908
75,"Chula Vista","California",271434,267172,243916,0.00791301990694504,2111.5494529722127
78,"St. Petersburg","Florida",269645,260999,244769,0.01629340951749203,1685.3827943133572
77,"Fort Wayne","Indiana",267852,264488,253691,0.006319269639703862,934.8296596896088
79,"Jersey City","New Jersey",264720,264152,247597,0.0010739838751152586,6908.465210806967
80,"Laredo","Texas",262034,257156,236091,0.009395404379899386,972.1082822539402
81,"Madison","Wisconsin",260427,252551,233209,0.015353484944773399,1305.573842333491
84,"Scottsdale","Arizona",260189,246645,217385,0.026722753406440702,546.1326169785498
82,"Lubbock","Texas",260188,252506,229573,0.014983596453244985,786.7224682014155
85,"Chandler","Arizona",254773,247477,236123,0.014526630164260812,1514.0599254855003
86,"Reno","Nevada",254431,245255,225221,0.018363532298283358,904.0828120539821
83,"Buffalo","New York",254004,256902,261310,-0.005672276309144908,2428.5480545059713
87,"Glendale","Arizona",251269,245895,226721,0.010809310408637751,1630.9257095097048
90,"North Las Vegas","Nevada",247680,238702,216961,0.018458742305430764,975.6604237845339
91,"Gilbert","Arizona",246601,237133,208453,0.019572740390379817,1399.9751741013365
89,"Winston-Salem","North Carolina",245549,242203,229617,0.006860043628729384,715.5242129192862
88,"Norfolk","Virginia",243085,245115,242803,-0.004158131913150398,1761.6663333595075
93,"Chesapeake","Virginia",242958,237940,222209,0.010434645184633773,277.11592367205174
92,"Irving","Texas",242873,238289,216290,0.009526936873651692,1398.5143811360954
95,"Fremont","California",236566,233136,214089,0.0073025024377157965,1179.0982660024376
94,"Hialeah","Florida",235081,236387,224669,-0.0027700713516081166,4226.314093947859
96,"Garland","Texas",232421,234943,226876,-0.0053962222165164775,1573.299261981502
98,"Richmond","Virginia",230254,223170,204214,0.015623345919051568,1483.8460753584673
99,"Boise City","Idaho",228900,223154,205671,0.012710870825166865,1078.0273715435371
